name_l,name_w
fiji,fiji
canada,canada
united states of america,united states of america
kazakhstan,kazakhstan
uzbekistan,uzbekistan
papua new guinea,papua new guinea
indonesia,indonesia
argentina,argentina
chile,chile
somalia,somalia
kenya,kenya
sudan,sudan
chad,chad
haiti,haiti
bahamas,bahamas
norway,norway
greenland,greenland
timor-leste,timor-leste
south africa,south africa
lesotho,lesotho
mexico,mexico
uruguay,uruguay
brazil,brazil
peru,peru
colombia,colombia
panama,panama
costa rica,costa rica
nicaragua,nicaragua
honduras,honduras
el salvador,el salvador
guatemala,guatemala
belize,belize
guyana,guyana
suriname,suriname
france,france
ecuador,ecuador
puerto rico,puerto rico
jamaica,jamaica
cuba,cuba
zimbabwe,zimbabwe
botswana,botswana
namibia,namibia
senegal,senegal
mali,mali
mauritania,mauritania
benin,benin
niger,niger
nigeria,nigeria
cameroon,cameroon
togo,togo
ghana,ghana
guinea,guinea
guinea-bissau,guinea-bissau
liberia,liberia
sierra leone,sierra leone
burkina faso,burkina faso
congo,congo
gabon,gabon
zambia,zambia
malawi,malawi
mozambique,mozambique
eswatini,eswatini
angola,angola
burundi,burundi
israel,israel
lebanon,lebanon
madagascar,madagascar
gambia,gambia
tunisia,tunisia
algeria,algeria
jordan,jordan
united arab emirates,united arab emirates
qatar,qatar
kuwait,kuwait
iraq,iraq
oman,oman
vanuatu,vanuatu
cambodia,cambodia
thailand,thailand
myanmar,myanmar
mongolia,mongolia
india,india
bangladesh,bangladesh
bhutan,bhutan
nepal,nepal
pakistan,pakistan
afghanistan,afghanistan
tajikistan,tajikistan
kyrgyzstan,kyrgyzstan
turkmenistan,turkmenistan
armenia,armenia
sweden,sweden
belarus,belarus
ukraine,ukraine
poland,poland
austria,austria
hungary,hungary
romania,romania
lithuania,lithuania
latvia,latvia
estonia,estonia
germany,germany
bulgaria,bulgaria
greece,greece
turkey,turkey
albania,albania
croatia,croatia
switzerland,switzerland
luxembourg,luxembourg
belgium,belgium
netherlands,netherlands
portugal,portugal
spain,spain
ireland,ireland
new caledonia,new caledonia
new zealand,new zealand
australia,australia
sri lanka,sri lanka
china,china
italy,italy
denmark,denmark
united kingdom,united kingdom
iceland,iceland
azerbaijan,azerbaijan
georgia,georgia
philippines,philippines
malaysia,malaysia
slovenia,slovenia
finland,finland
slovakia,slovakia
czechia,czechia
eritrea,eritrea
japan,japan
paraguay,paraguay
yemen,yemen
saudi arabia,saudi arabia
cyprus,cyprus
morocco,morocco
egypt,egypt
libya,libya
ethiopia,ethiopia
djibouti,djibouti
uganda,uganda
rwanda,rwanda
serbia,serbia
montenegro,montenegro
trinidad and tobago,trinidad and tobago
bolivia (plurin. state of),bolivia
brunei darussalam,brunei
iran (islamic republic of),iran
north macedonia,macedonia
republic of moldova,moldova
russian federation,russia
state of palestine,palestine
syrian arab republic,syria
united rep. of tanzania,tanzania
venezuela (boliv. rep. of),venezuela
western sahara, w. sahara       
dem. rep. of the congo,dem. rep. congo       
dominican republic,dominican rep.       
falkland islands (malvinas),falkland is.       
,fr. s. antarctic lands       
côte divoire,côte d'ivoire       
central african republic,central african rep.       
equatorial guinea,eq. guinea       
lao people's dem. rep.,laos       
viet nam,vietnam       
dem. people's rep. korea,north korea       
republic of korea,south korea       
solomon islands,solomon is.       
,taiwan       
,antarctica       
cyprus,n. cyprus       
,somaliland       
bosnia and herzegovina,bosnia and herz.       
,kosovo       
south sudan,s. sudan   
