0,1,2
W. Sahara,Western Sahara,Permanent crops (thousand hectares)
W. Sahara,Western Sahara,Permanent crops (% of total land area)
W. Sahara,Western Sahara,Important sites for terrestrial biodiversity protected (% of total sites protected)
United States of America,United States of America,Important sites for terrestrial biodiversity protected (% of total sites protected)
Sudan,Sudan,Land area (thousand hectares)
Sudan,Sudan,Arable land (% of total land area)
Sudan,Sudan,Forest cover (% of total land area)
Sudan,Sudan,Permanent crops (% of total land area)
Falkland Is.,Falkland Islands (Malvinas),Arable land (thousand hectares)
Falkland Is.,Falkland Islands (Malvinas),Arable land (% of total land area)
Falkland Is.,Falkland Islands (Malvinas),Permanent crops (thousand hectares)
Falkland Is.,Falkland Islands (Malvinas),Permanent crops (% of total land area)
Greenland,Greenland,Arable land (thousand hectares)
Greenland,Greenland,Arable land (% of total land area)
Greenland,Greenland,Permanent crops (thousand hectares)
Greenland,Greenland,Permanent crops (% of total land area)
Peru,Peru,Important sites for terrestrial biodiversity protected (% of total sites protected)
Guyana,Guyana,Important sites for terrestrial biodiversity protected (% of total sites protected)
Jordan,Jordan,Important sites for terrestrial biodiversity protected (% of total sites protected)
Iceland,Iceland,Permanent crops (thousand hectares)
Iceland,Iceland,Permanent crops (% of total land area)
Djibouti,Djibouti,Permanent crops (thousand hectares)
Djibouti,Djibouti,Permanent crops (% of total land area)
S. Sudan,South Sudan,Land area (thousand hectares)
S. Sudan,South Sudan,Arable land (thousand hectares)
S. Sudan,South Sudan,Arable land (% of total land area)
S. Sudan,South Sudan,Forest cover (% of total land area)
S. Sudan,South Sudan,Permanent crops (thousand hectares)
S. Sudan,South Sudan,Permanent crops (% of total land area)
