name_w,region_country,type,value,footnotes,general_source
W. Sahara,Western Sahara,Permanent crops (thousand hectares),0,For 2011 statistics,https://theodora.com/wfbcurrent/western_sahara/western_sahara_geography.html
W. Sahara,Western Sahara,Permanent crops (% of total land area),0,For 2011 statistics,https://theodora.com/wfbcurrent/western_sahara/western_sahara_geography.html
W. Sahara,Western Sahara,Important sites for terrestrial biodiversity protected (% of total sites protected),,No data,No data
United States of America,United States of America,Important sites for terrestrial biodiversity protected (% of total sites protected),,No data,No data
Sudan,Sudan,Land area (thousand hectares),188606.8,,https://en.wikipedia.org/wiki/Geography_of_Sudan
Sudan,Sudan,Arable land (% of total land area),10.510226,Calculated Value,
Sudan,Sudan,Forest cover (% of total land area),10.092955,Calculated Value,
Sudan,Sudan,Permanent crops (% of total land area),0.0890742009,Calculated Value,
Falkland Is.,Falkland Islands (Malvinas),Arable land (thousand hectares),0,,https://www.cia.gov/library/publications/the-world-factbook/geos/print_fk.html
Falkland Is.,Falkland Islands (Malvinas),Arable land (% of total land area),0,Calculated Value,
Falkland Is.,Falkland Islands (Malvinas),Permanent crops (thousand hectares),,No data,
Falkland Is.,Falkland Islands (Malvinas),Permanent crops (% of total land area),,No data,
Greenland,Greenland,Arable land (thousand hectares),0.45,For 2015 statistics,https://tradingeconomics.com/greenland/arable-land-hectares-wb-data.html
Greenland,Greenland,Arable land (% of total land area),0.001095,For 2015 statistics,https://tradingeconomics.com/greenland/arable-land-percent-of-land-area-wb-data.html
Greenland,Greenland,Permanent crops (thousand hectares),,No data,
Greenland,Greenland,Permanent crops (% of total land area),,No data,
Peru,Peru,Important sites for terrestrial biodiversity protected (% of total sites protected),,No data,
Guyana,Guyana,Important sites for terrestrial biodiversity protected (% of total sites protected),,No data,
Jordan,Jordan,Important sites for terrestrial biodiversity protected (% of total sites protected),,No data,
Iceland,Iceland,Permanent crops (thousand hectares),,No data,
Iceland,Iceland,Permanent crops (% of total land area),,No data,
Djibouti,Djibouti,Permanent crops (thousand hectares),,No data,
Djibouti,Djibouti,Permanent crops (% of total land area),,No data,
S. Sudan,South Sudan,Land area (thousand hectares),61974.5,,https://en.wikipedia.org/wiki/South_Sudan
S. Sudan,South Sudan,Arable land (thousand hectares),,No data,
S. Sudan,South Sudan,Arable land (% of total land area),,No data,
S. Sudan,South Sudan,Forest cover (% of total land area),11.548298,Calculated Value,
S. Sudan,South Sudan,Permanent crops (thousand hectares),,No data,
S. Sudan,South Sudan,Permanent crops (% of total land area),,No data,
