region,country,year,type,value,footnotes,source,general_source
4,afghanistan,2005,Land area (thousand hectares),65286.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Arable land (thousand hectares),7805.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Permanent crops (thousand hectares),105.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Forest cover (thousand hectares),1350.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Arable land (% of total land area),12.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Forest cover (% of total land area),2.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.04,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018.",https://data.un.org/
4,afghanistan,2010,Land area (thousand hectares),65286.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Arable land (thousand hectares),7793.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Permanent crops (thousand hectares),118.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Forest cover (thousand hectares),1350.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Arable land (% of total land area),11.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Forest cover (% of total land area),2.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),6.14,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018.",https://data.un.org/
4,afghanistan,2016,Land area (thousand hectares),65286.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2016,Arable land (thousand hectares),7729.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
4,afghanistan,2016,Permanent crops (thousand hectares),181.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.",https://data.un.org/
