region_country,name_dif
Australia and New Zealand,Australia
Bolivia (Plurin. State of),Bolivia
British Indian Ocean Terr.,India
Brunei Darussalam,Brunei
"China, Hong Kong SAR",China
"China, Macao SAR",China
Dem. Rep. of the Congo,Congo
Equatorial Guinea,Guinea
Iran (Islamic Republic of),Iran
Netherlands Antilles [former],Netherlands
North Macedonia,Macedonia
Papua New Guinea,Guinea
Republic of Moldova,Moldova
Russian Federation,Russia
Serbia and Monten. [former],Serbia
South Georgia & Sandwich Is.,Georgia
South Sudan,Sudan
State of Palestine,Palestine
Sudan [former],Sudan
Syrian Arab Republic,Syria
United Rep. of Tanzania,Tanzania
Venezuela (Boliv. Rep. of),Venezuela
