pop_est,continent,name,iso_a3,gdp_md_est,geometry,regionw,regionun,_merge
920938,Oceania,Fiji,FJI,8374,"MULTIPOLYGON (((180 -16.06713266364245, 180 -16.5552165666392, 179.3641426619641 -16.80135407694688, 178.7250593629971 -17.01204167436804, 178.5968385951171 -16.63915, 179.0966093629971 -16.4339842775474, 179.4135093629971 -16.3790542775474, 180 -16.06713266364245)), ((178.12557 -17.50481, 178.3736 -17.33992, 178.71806 -17.62846, 178.55271 -18.15059, 177.93266 -18.28799, 177.38146 -18.16432, 177.28504 -17.72465, 177.67087 -17.38114, 178.12557 -17.50481)), ((-179.7933201090486 -16.02088225674122, -179.9173693847653 -16.5017831356494, -180 -16.5552165666392, -180 -16.06713266364245, -179.7933201090486 -16.02088225674122)))",East Asia & Pacific,,left_only
603253,Africa,W. Sahara,ESH,906.5,"POLYGON ((-8.665589565454809 27.65642588959236, -8.665124477564191 27.58947907155823, -8.684399786809053 27.39574412689601, -8.6872936670174 25.88105621998891, -11.96941891117116 25.93335276946827, -11.93722449385332 23.37459422453617, -12.87422156416958 23.28483226164518, -13.11875444177471 22.77122020109626, -12.92910193526353 21.32707062426756, -16.84519365077399 21.33332347257488, -17.06342322434257 20.99975210213083, -17.02042843267577 21.42231028898158, -17.00296179856109 21.42073415779658, -14.75095455571353 21.50060008390366, -14.63083268885107 21.8609398462749, -14.22116777185725 22.31016307218816, -13.89111039880905 23.6910090194593, -12.50096269372537 24.7701162785782, -12.03075883630163 26.03086619720307, -11.71821977380036 26.10409170176062, -11.39255489749701 26.88342397715439, -10.55126257978527 26.99080760345689, -10.18942420087758 26.86094472910741, -9.735343390328879 26.86094472910741, -9.41303748212448 27.08847606048857, -8.794883999049077 27.12069631602251, -8.817828334986672 27.65642588959236, -8.665589565454809 27.65642588959236))",Middle East & North Africa,,left_only
83301151,Africa,Dem. Rep. Congo,COD,66010,"POLYGON ((29.33999759290035 -4.499983412294092, 29.51998660657293 -5.419978936386315, 29.41999271008817 -5.939998874539434, 29.62003217949001 -6.520015150583426, 30.1999967791017 -7.079980970898163, 30.74001549655179 -8.340007419470915, 30.7400097314221 -8.340005930353721, 30.34608605319082 -8.238256524288218, 29.00291222506047 -8.407031752153472, 28.7348665707625 -8.526559340044578, 28.44987104667283 -9.164918308146085, 28.67368167492893 -9.605924981324932, 28.49606977714177 -10.78988372156405, 28.37225304537043 -11.79364674240139, 28.64241743339235 -11.97156869878232, 29.34154788586909 -12.36074391037241, 29.61600141777123 -12.17889454513731, 29.69961388521949 -13.25722665777183, 28.93428592297684 -13.24895842860514, 28.52356163912103 -12.69860442469668, 28.15510867687999 -12.2724805640179, 27.38879886242378 -12.13274749110067, 27.16441979341246 -11.60874846766107, 26.55308759939962 -11.92443979253213, 25.75230960460473 -11.78496510177636, 25.4181181169732 -11.33093596765996, 24.78316979340295 -11.23869353601896, 24.31451622894795 -11.26282642989927, 24.25715538910399 -10.95199268966366, 23.91221520355572 -10.92682626713751, 23.45679080576744 -10.86786345789248, 22.83734541188474 -11.01762175867433, 22.40279829274237 -10.99307545333569, 22.15526818206431 -11.08480112065377, 22.2087532894864 -9.894796237836509, 21.87518191904235 -9.523707777548566, 21.8018013851879 -8.908706556842979, 21.94913089365204 -8.305900974158277, 21.74645592620331 -7.920084730667149, 21.7281107927397 -7.290872491081302, 20.5147481625265 -7.299605808138629, 20.6018229509383 -6.939317722199682, 20.09162153492065 -6.943090101756994, 20.03772301604022 -7.116361179231646, 19.41750247567316 -7.155428562044299, 19.16661339689611 -7.738183688999754, 19.01675174324967 -7.988245944860132, 18.46417565275269 -7.847014255406443, 18.13422163256905 -7.987677504104923, 17.47297000496224 -8.0685511206417, 17.08999596524717 -7.545688978712526, 16.8601908708452 -7.222297865429987, 16.57317996589614 -6.622644545115087, 16.32652835456705 -5.877470391466268, 13.3755973649719 -5.864241224799549, 13.02486941900696 -5.984388929878158, 12.7351713395787 -5.965682061388499, 12.32243167486351 -6.10009246177966, 12.18233686692025 -5.789930515163839, 12.43668826666087 -5.684303887559246, 12.46800418462974 -5.248361504745005, 12.63161176926579 -4.991271254092936, 12.99551720546518 -4.781103203961884, 13.25824018723705 -4.882957452009165, 13.60023481614468 -4.50013844159097, 14.1449560889333 -4.510008640158716, 14.20903486497522 -4.793092136253598, 14.58260379401318 -4.97023894615014, 15.17099165208844 -4.343507175314301, 15.75354007331475 -3.855164890156097, 16.0062895036543 -3.535132744972529, 15.97280317552915 -2.712392266453612, 16.40709191251005 -1.740927015798682, 16.86530683764212 -1.225816338713287, 17.52371626147286 -0.7438302547269871, 17.63864464688999 -0.4248316381892465, 17.66355268725468 -0.05808399821381727, 17.82654015470325 0.2889232446261047, 17.77419192879157 0.8556586775710854, 17.89883548347959 1.741831976728278, 18.09427575040743 2.365721543788055, 18.39379235197114 2.90044342692822, 18.45306521980993 3.504385891123349, 18.54298221199778 4.201785183118318, 18.93231245288476 4.709506130385975, 19.46778364429315 5.03152781821278, 20.29067915210894 4.691677761245288, 20.92759118010628 4.322785549329737, 21.65912275563002 4.22434194581372, 22.40512373219554 4.029160061047321, 22.70412356943629 4.633050848810157, 22.84147952646811 4.710126247573484, 23.29721398285014 4.609693101414223, 24.41053104014625 5.10878408448913, 24.80502892426242 4.89724660890235, 25.12883344900328 4.92724477784779, 25.27879845551431 5.170408229997192, 25.65045535655747 5.256087754737123, 26.40276085786254 5.150874538590871, 27.04406538260471 5.127852688004836, 27.37422610851749 5.233944403500061, 27.97997724784281 4.408413397637375, 28.42899376802691 4.287154649264494, 28.6966776872988 4.455077215996937, 29.1590784034465 4.389267279473231, 29.71599531425602 4.600804755060153, 29.95350019706947 4.173699042167684, 30.83385242171543 3.509171604222463, 30.83385989759381 3.509165961110341, 30.77334679538004 2.339883327642127, 31.17414920423582 2.204465236821264, 30.85267011894806 1.849396470543809, 30.46850752129029 1.583805446779706, 30.08615359876271 1.062312730306289, 29.87577884290243 0.5973798689763612, 29.81950320813664 -0.2053101538133717, 29.58783776217217 -0.587405694179381, 29.57946618014088 -1.341313164885626, 29.29188683443661 -1.620055840667987, 29.25483483248334 -2.215109958508911, 29.11747887545155 -2.292211195488385, 29.02492638521679 -2.839257907730158, 29.27638390474905 -3.293907159034063, 29.33999759290035 -4.499983412294092))",Sub-Saharan Africa,,left_only
10734247,North America,Dominican Rep.,DOM,161900,"POLYGON ((-71.70830481635805 18.04499705654609, -71.68773759630588 18.31666006110447, -71.94511206733556 18.61690013272026, -71.7013026597825 18.78541697842405, -71.62487321642283 19.16983795824331, -71.71236141629296 19.71445587816736, -71.58730445014663 19.8849105900821, -70.80670610216174 19.88028554939199, -70.21436499701613 19.62288524014616, -69.95081519232758 19.64799998624001, -69.76925004747008 19.29326711677244, -69.22212582057988 19.3132142196371, -69.25434607611385 19.01519623460987, -68.80941199408083 18.97907440843785, -68.31794328476897 18.61219757738169, -68.68931596543452 18.20514232021861, -69.16494584824892 18.42264842373511, -69.62398759629764 18.38071299893025, -69.95293392605154 18.42830699307106, -70.13323299831789 18.2459150252969, -70.51713721381422 18.18429087978883, -70.66929846869763 18.42688589118303, -70.99995012071719 18.28332876227621, -71.4002099270339 17.5985643579766, -71.65766191271202 17.7575727401387, -71.70830481635805 18.04499705654609))",Latin America & Caribbean,,left_only
329988,North America,Bahamas,BHS,9066,"MULTIPOLYGON (((-78.98 26.79, -78.51000000000001 26.87, -77.85000000000001 26.84, -77.82000000000001 26.58000000000001, -78.91000000000001 26.42, -78.98 26.79)), ((-77.79000000000001 27.04, -77 26.59, -77.17255 25.87918, -77.35641 26.00735, -77.34 26.53, -77.78802 26.92516, -77.79000000000001 27.04)), ((-78.19087 25.2103, -77.89 25.17, -77.54000000000001 24.34, -77.53466 23.75975, -77.78 23.71, -78.03405000000001 24.28615, -78.40848 24.57564, -78.19087 25.2103)))",North America,,left_only
2931,South America,Falkland Is.,FLK,281.8,"POLYGON ((-61.2 -51.85, -60 -51.25, -59.15 -51.5, -58.55 -51.10000000000001, -57.75 -51.55, -58.05 -51.90000000000001, -59.40000000000001 -52.2, -59.85000000000001 -51.85, -60.7 -52.3, -61.2 -51.85))",Latin America & Caribbean,,left_only
140,Seven seas (open ocean),Fr. S. Antarctic Lands,ATF,16,"POLYGON ((68.935 -48.62500000000001, 69.58 -48.94, 70.52500000000001 -49.065, 70.56 -49.255, 70.28 -49.71, 68.745 -49.77500000000001, 68.72000000000001 -49.2425, 68.86750000000001 -48.83000000000001, 68.935 -48.62500000000001))",Sub-Saharan Africa,,left_only
1291358,Asia,Timor-Leste,TLS,4975,"POLYGON ((124.9686824891162 -8.892790215697083, 125.0862463725803 -8.65688730228468, 125.9470723816983 -8.432094821815035, 126.6447042176385 -8.398246758663852, 126.9572432801398 -8.273344821814398, 127.3359281759746 -8.397316582882603, 126.9679919780565 -8.668256117388893, 125.9258850444586 -9.106007175333353, 125.0885201356011 -9.393173109579294, 125.0700199728406 -9.089987481322872, 124.9686824891162 -8.892790215697083))",East Asia & Pacific,,left_only
24184810,Africa,Côte d'Ivoire,CIV,87120,"POLYGON ((-8.029943610048619 10.20653493900171, -7.899589809592372 10.29738210697083, -7.622759161804809 10.1472362329468, -6.850506557635057 10.13899384199624, -6.666460944027548 10.43081065514845, -6.493965013037268 10.41130280195827, -6.205222947606431 10.52406077721913, -6.050452032892267 10.09636078535544, -5.816926235365287 10.22255463301219, -5.404341599946974 10.37073680260915, -4.954653286143099 10.15271393476974, -4.779883592131966 9.821984768101743, -4.330246954760383 9.610834865757141, -3.980449184576685 9.8623440617217, -3.511898972986273 9.90032623945622, -2.827496303712707 9.642460842319778, -2.562189500326241 8.219627793811483, -2.983584967450327 7.379704901555513, -3.244370083011262 6.250471503113502, -2.81070146321784 5.38905121502411, -2.856125047202397 4.994475816259509, -3.311084357100071 4.984295559098015, -4.008819545904942 5.179813340674315, -4.649917364917911 5.168263658057086, -5.834496222344526 4.993700669775137, -6.528769090185847 4.705087795425015, -7.518941209330436 4.338288479017308, -7.71215938966975 4.364565944837722, -7.635368211284031 5.188159084489456, -7.539715135111763 5.313345241716519, -7.570152553731688 5.707352199725904, -7.993692592795881 6.126189683451543, -8.311347622094019 6.193033148621083, -8.60288021486862 6.46756419517166, -8.385451626000574 6.911800645368743, -8.48544552248535 7.39520783124307, -8.439298468448698 7.686042792181738, -8.280703497744938 7.687179673692157, -8.221792364932199 8.123328762235573, -8.299048631208564 8.316443589710303, -8.20349890790088 8.455453192575447, -7.832100389019188 8.575704250518626, -8.079113735374349 9.376223863152035, -8.309616461612251 9.789531968622441, -8.229337124046822 10.1290202905639, -8.029943610048619 10.20653493900171))",Sub-Saharan Africa,,left_only
5625118,Africa,Central African Rep.,CAF,3206,"POLYGON ((27.37422610851749 5.233944403500061, 27.04406538260471 5.127852688004836, 26.40276085786254 5.150874538590871, 25.65045535655747 5.256087754737123, 25.27879845551431 5.170408229997192, 25.12883344900328 4.92724477784779, 24.80502892426242 4.89724660890235, 24.41053104014625 5.10878408448913, 23.29721398285014 4.609693101414223, 22.84147952646811 4.710126247573484, 22.70412356943629 4.633050848810157, 22.40512373219554 4.029160061047321, 21.65912275563002 4.22434194581372, 20.92759118010628 4.322785549329737, 20.29067915210894 4.691677761245288, 19.46778364429315 5.03152781821278, 18.93231245288476 4.709506130385975, 18.54298221199778 4.201785183118318, 18.45306521980993 3.504385891123349, 17.80990034350526 3.56019643799857, 17.1330424333463 3.728196519379452, 16.53705813972414 3.198254706226279, 16.01285241055535 2.267639675298085, 15.90738081224765 2.557389431158612, 15.86273237474748 3.013537298998983, 15.40539594896438 3.33530060466434, 15.03621951667125 3.851367295747124, 14.95095340338966 4.210389309094921, 14.47837243008047 4.732605495620447, 14.55893598802351 5.03059764243153, 14.45940717942935 5.4517605656103, 14.53656009284111 6.22695872642069, 14.77654544440458 6.408498033062045, 15.27946048346911 7.421924546737969, 16.10623172370674 7.497087917506462, 16.29056155769189 7.754307359239419, 16.45618452318735 7.734773667832968, 16.70598839688626 7.508327541529979, 17.96492964038089 7.890914008002994, 18.38955488452322 8.281303615751824, 18.91102176278051 8.630894680206353, 18.81200971850927 8.982914536978598, 19.09400800952602 9.07484691002584, 20.05968549976427 9.012706000194854, 21.00086836109617 9.475985215691509, 21.72382164885946 10.56705556888598, 22.23112918466876 10.97188873946061, 22.86416548024422 11.14239512780755, 22.97754357269261 10.71446259199854, 23.55430423350219 10.08925527591531, 23.55724979014283 9.681218166538684, 23.39477908701718 9.265067857292223, 23.45901289235599 8.954285793488893, 23.80581342946675 8.666318874542526, 24.56736901215208 8.229187933785468, 25.11493248871679 7.825104071479174, 25.12413089366473 7.500085150579437, 25.79664798351118 6.979315904158071, 26.21341840994512 6.546603298362072, 26.46590945812324 5.94671743410187, 27.21340905122517 5.550953477394557, 27.37422610851749 5.233944403500061))",Sub-Saharan Africa,,left_only
